country,year,prev,democracy
Albania,2005,0.0,1
Albania,2025,1.0,0
Argentina,1964,0.0,1
Argentina,1966,1.0,0
Argentina,1974,0.0,1
Argentina,1976,1.0,0
Argentina,1984,0.0,1
Armenia,1990,0.0,1
Armenia,1995,1.0,0
Armenia,2018,0.0,1
Barbados,1960,0.0,1
Belarus,1992,0.0,1
Belarus,1996,1.0,0
Bhutan,2009,0.0,1
Bolivia,1986,0.0,1
Bolivia,2019,1.0,0
Bolivia,2021,0.0,1
Bosnia and Herzegovina,1997,0.0,1
Bosnia and Herzegovina,2025,1.0,0
Botswana,1967,0.0,1
Brazil,1987,0.0,1
Bulgaria,1990,0.0,1
Cape Verde,1991,0.0,1
Chile,1959,0.0,1
Chile,1973,1.0,0
Chile,1990,0.0,1
Colombia,1991,0.0,1
Cote d'Ivoire,2016,0.0,1
Cote d'Ivoire,2020,1.0,0
Croatia,2000,0.0,1
Cyprus,1975,0.0,1
Czechia,1990,0.0,1
Dominican Republic,1982,0.0,1
Dominican Republic,1990,1.0,0
Dominican Republic,1996,0.0,1
East Timor,2002,0.0,1
Estonia,1990,0.0,1
Estonia,1992,1.0,0
Estonia,1993,0.0,1
Fiji,1970,0.0,1
Fiji,1987,1.0,0
Fiji,1993,0.0,1
Fiji,2000,1.0,0
Fiji,2003,0.0,1
Fiji,2006,1.0,0
Fiji,2023,0.0,1
Georgia,2004,0.0,1
Georgia,2008,1.0,0
Georgia,2012,0.0,1
Georgia,2024,1.0,0
Ghana,1980,0.0,1
Ghana,1981,1.0,0
Ghana,1996,0.0,1
Greece,1975,0.0,1
Guatemala,2000,0.0,1
Guinea-Bissau,2015,0.0,1
Guinea-Bissau,2017,1.0,0
Guinea-Bissau,2018,0.0,1
Guinea-Bissau,2022,1.0,0
Guyana,1998,0.0,1
Guyana,2021,1.0,0
Guyana,2025,0.0,1
Honduras,1994,0.0,1
Honduras,2009,1.0,0
Honduras,2022,0.0,1
Hungary,1990,0.0,1
Hungary,2018,1.0,0
India,1952,0.0,1
India,1975,1.0,0
India,1978,0.0,1
India,2017,1.0,0
Indonesia,1956,0.0,1
Indonesia,1958,1.0,0
Indonesia,1999,0.0,1
Indonesia,2024,1.0,0
Jamaica,1956,0.0,1
Jamaica,1977,1.0,0
Jamaica,1984,0.0,1
Japan,1952,0.0,1
Kenya,2003,0.0,1
Kenya,2007,1.0,0
Kenya,2013,0.0,1
Kenya,2017,1.0,0
Kenya,2022,0.0,1
Latvia,1990,0.0,1
Lesotho,1993,0.0,1
Lesotho,1994,1.0,0
Lesotho,2003,0.0,1
Lithuania,1990,0.0,1
Malawi,1995,0.0,1
Malawi,2000,1.0,0
Malawi,2010,0.0,1
Malawi,2019,1.0,0
Malawi,2020,0.0,1
Malaysia,2023,0.0,1
Maldives,2009,0.0,1
Maldives,2013,1.0,0
Maldives,2019,0.0,1
Mali,1993,0.0,1
Mali,2012,1.0,0
Mali,2014,0.0,1
Mali,2018,1.0,0
Malta,1958,1.0,0
Malta,1963,0.0,1
Mauritius,1968,0.0,1
Mauritius,2023,1.0,0
Mauritius,2025,0.0,1
Mexico,1996,0.0,1
Mexico,2024,1.0,0
Moldova,1992,0.0,1
Moldova,1993,1.0,0
Moldova,1994,0.0,1
Moldova,2005,1.0,0
Moldova,2010,0.0,1
Mongolia,1991,0.0,1
Mongolia,2024,1.0,0
Mongolia,2025,0.0,1
Namibia,1990,0.0,1
Nepal,2009,0.0,1
Nepal,2012,1.0,0
Nepal,2014,0.0,1
Niger,1993,0.0,1
Niger,1996,1.0,0
Niger,2000,0.0,1
Niger,2009,1.0,0
Niger,2011,0.0,1
Niger,2023,1.0,0
Nigeria,2012,0.0,1
Nigeria,2021,1.0,0
Nigeria,2025,0.0,1
North Macedonia,1998,0.0,1
North Macedonia,1999,1.0,0
North Macedonia,2002,0.0,1
North Macedonia,2011,1.0,0
North Macedonia,2017,0.0,1
Panama,1991,0.0,1
Papua New Guinea,1973,0.0,1
Papua New Guinea,2008,1.0,0
Paraguay,1993,0.0,1
